index,datetime,soil_moisture,soil_temperature
0,2017-05-23 14:06:17,33.51,34.8
1,2017-05-23 14:08:17,33.49,35.2
2,2017-05-23 14:10:17,33.46,35.4
3,2017-05-23 14:12:17,33.33,35
4,2017-05-23 14:14:17,33.32,35.3
5,2017-05-23 14:16:17,33.23,35.5
6,2017-05-23 14:18:17,33.16,35.4
7,2017-05-23 14:20:17,33.05,35.1
8,2017-05-23 14:22:17,32.96,35
9,2017-05-23 14:24:17,32.96,34.8
10,2017-05-23 14:26:17,32.95,34.5
11,2017-05-23 14:28:17,32.84,34.3
12,2017-05-23 14:30:17,32.85,34.5
13,2017-05-23 14:32:17,32.72,34.7
14,2017-05-23 14:34:17,32.78,34.7
15,2017-05-23 14:36:17,32.76,34.9
16,2017-05-23 14:38:17,32.74,35
17,2017-05-23 14:40:17,32.61,35
18,2017-05-23 14:42:17,32.66,34.8
19,2017-05-23 14:44:17,32.5,34.8
20,2017-05-23 14:46:17,32.46,34.9
21,2017-05-23 14:48:17,32.52,34.9
22,2017-05-23 14:50:17,32.52,35.1
23,2017-05-23 14:52:17,32.4,35.2
24,2017-05-23 14:54:17,32.48,35.2
25,2017-05-23 14:56:17,32.38,35.5
26,2017-05-23 14:58:17,32.38,35.9
27,2017-05-23 15:00:17,32.27,35.9
28,2017-05-23 15:02:17,32.27,35.3
29,2017-05-23 15:04:17,32.13,35.2
30,2017-05-23 15:10:52,32.09,34
31,2017-05-23 15:14:15,31.97,33.9
32,2017-05-23 15:16:15,31.95,34.5
33,2017-05-23 15:18:15,31.96,34.6
34,2017-05-23 15:20:15,31.94,34.5
35,2017-05-23 15:22:15,31.92,34.5
36,2017-05-23 15:24:15,31.86,34
37,2017-05-23 15:26:15,31.89,33.9
38,2017-05-23 15:28:15,31.84,33.9
39,2017-05-23 15:30:15,31.89,32.6
40,2017-05-23 15:32:15,31.8,32.1
41,2017-05-23 15:34:15,31.79,31.8
42,2017-05-23 15:36:15,31.73,32.5
43,2017-05-23 15:38:15,31.71,33
44,2017-05-23 15:40:15,31.71,32.6
45,2017-05-23 15:42:15,31.76,31.6
48,2017-05-23 15:48:15,31.73,30
49,2017-05-23 15:50:15,31.73,30.6
50,2017-05-23 15:52:15,31.69,30.3
51,2017-05-23 15:54:15,31.72,30.4
52,2017-05-23 15:56:15,31.6,31.1
53,2017-05-23 15:58:15,31.59,31.5
54,2017-05-23 16:00:15,31.61,32.2
55,2017-05-23 16:02:15,31.63,32.9
56,2017-05-23 16:04:15,31.58,33.6
57,2017-05-23 16:06:15,31.5,34.3
58,2017-05-23 16:08:15,31.55,34.6
59,2017-05-23 16:10:15,31.5,34.6
60,2017-05-23 16:12:15,31.58,33.7
61,2017-05-23 10:38:26,42.25,31.5
62,2017-05-23 10:40:26,40.72,31.5
63,2017-05-23 10:42:26,40.39,31.3
64,2017-05-23 10:44:26,40.11,31.4
65,2017-05-23 10:46:26,39.73,31.5
66,2017-05-23 10:48:26,39.68,31.2
67,2017-05-23 10:50:26,39.14,31.2
68,2017-05-23 10:52:26,38.8,31.1
69,2017-05-23 10:54:26,39.06,31.1
70,2017-05-23 10:56:26,38.88,31.1
71,2017-05-23 10:58:26,38.78,31.2
72,2017-05-23 11:00:26,38.87,31.5
73,2017-05-23 11:02:26,38.27,31.4
74,2017-05-23 11:04:26,38.47,31.5
75,2017-05-23 11:06:26,38.12,31.6
76,2017-05-23 11:08:26,38.32,31.7
77,2017-05-23 11:10:26,38.01,31.8
78,2017-05-23 11:12:26,38.17,32
79,2017-05-23 11:14:26,37.84,31.8
80,2017-05-23 11:16:26,37.89,31.9
81,2017-05-23 11:18:26,37.58,31.5
82,2017-05-23 11:20:26,37.64,31.2
83,2017-05-23 11:22:26,37.58,31.1
84,2017-05-23 11:24:26,37.35,31.4
85,2017-05-23 11:26:26,37.22,31.4
